City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Shubarshi,KZ,2021-04-07 19:35:59,48.5872,57.1869,40.84,83,89,4.43
210,Sungaipenuh,ID,2021-04-07 19:36:00,-2.0833,101.3833,62.71,93,99,1.23
211,Kangaatsiaq,GL,2021-04-07 19:36:00,68.3065,-53.4641,22.75,82,71,18.14
212,Severo-Kurilsk,RU,2021-04-07 19:36:00,50.6789,156.125,31.39,90,100,37.6
213,Bengbu,CN,2021-04-07 19:36:01,32.9408,117.3608,47.55,90,98,0.96
214,Anadyr,RU,2021-04-07 19:36:01,64.75,177.4833,-18.0,76,0,6.71
215,Ottumwa,US,2021-04-07 19:34:26,41.02,-92.4113,73.4,56,1,19.57
216,Pringsewu,ID,2021-04-07 19:36:01,-5.3582,104.9744,72.59,89,92,3.47
217,Mirnyy,RU,2021-04-07 19:32:12,62.5353,113.9611,31.78,98,100,5.53
218,Istok,XK,2021-04-07 19:36:02,42.7808,20.4875,32.0,74,75,3.44
219,Cherskiy,RU,2021-04-07 19:34:39,68.75,161.3,-19.1,98,90,5.3
220,Margate,GB,2021-04-07 19:36:02,51.3813,1.3862,42.01,43,15,1.01
221,Santa Isabel Do Rio Negro,BR,2021-04-07 19:36:02,-0.4139,-65.0192,88.7,54,95,1.92
222,Namie,JP,2021-04-07 19:36:03,37.4833,141.0,43.0,68,29,8.01
223,Senneterre,CA,2021-04-07 19:36:03,48.3835,-77.2328,64.4,19,75,5.75
224,Grindavik,IS,2021-04-07 19:36:03,63.8424,-22.4338,32.0,100,90,16.11
225,Tuatapere,NZ,2021-04-07 19:36:04,-46.1333,167.6833,44.01,96,12,1.01
226,Aracati,BR,2021-04-07 19:36:04,-4.5617,-37.7697,83.25,71,51,13.44
227,Aksu,CN,2021-04-07 19:36:04,41.1231,80.2644,50.92,58,100,7.58
228,Banepa,NP,2021-04-07 19:36:05,27.6298,85.5214,60.8,100,20,3.44
229,Gariaband,IN,2021-04-07 19:36:05,20.635,82.0614,77.88,24,1,3.49
230,Naze,JP,2021-04-07 19:31:35,28.3667,129.4833,61.29,56,99,8.19
231,Kahului,US,2021-04-07 19:36:05,20.8947,-156.47,75.2,60,40,12.66
232,Souillac,MU,2021-04-07 19:36:06,-20.5167,57.5167,80.6,78,75,11.5
233,Eastbourne,GB,2021-04-07 19:36:06,50.7687,0.2845,41.0,54,45,1.99
234,Saint-Pierre,RE,2021-04-07 19:34:46,-21.3393,55.4781,78.8,78,89,3.44
235,Camacha,PT,2021-04-07 19:36:06,33.0833,-16.3333,66.2,77,20,5.75
236,Salalah,OM,2021-04-07 19:34:26,17.0151,54.0924,82.4,69,0,2.3
237,Sibolga,ID,2021-04-07 19:34:47,1.7427,98.7792,75.52,88,100,2.44
238,Oranjemund,NA,2021-04-07 19:36:07,-28.55,16.4333,60.06,94,3,5.55
239,Necochea,AR,2021-04-07 19:32:17,-38.5473,-58.7368,81.23,49,75,14.56
240,Longyearbyen,SJ,2021-04-07 19:36:07,78.2186,15.6401,23.0,80,90,25.32
241,Durban,ZA,2021-04-07 19:31:38,-29.8579,31.0292,73.0,88,0,1.14
242,Pevek,RU,2021-04-07 19:36:07,69.7008,170.3133,-24.18,99,100,4.09
243,Enumclaw,US,2021-04-07 19:35:32,47.2043,-121.9915,48.99,73,100,8.01
244,Saint-Georges,GD,2021-04-07 19:36:08,12.0564,-61.7485,78.8,89,75,5.75
245,Wilson,US,2021-04-07 19:36:08,36.1501,-86.2833,80.6,47,75,12.66
246,Kranuan,TH,2021-04-07 19:36:08,16.7067,103.0788,80.01,83,98,4.61
247,Avera,US,2021-04-07 19:36:09,33.194,-82.5271,84.2,28,40,8.05
248,College,US,2021-04-07 19:36:09,64.8569,-147.8028,9.0,85,20,2.35
249,Brownwood,US,2021-04-07 19:35:48,31.7093,-98.9912,75.2,19,1,17.27
250,Emba,KZ,2021-04-07 19:36:09,48.8264,58.1442,39.43,85,65,4.23
251,General Roca,AR,2021-04-07 19:36:10,-39.0333,-67.5833,77.0,41,20,3.44
