City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
592,Chumikan,RU,54.7183,135.315,21.76,95,100,4.56,snow
593,Bogovarovo,RU,58.9785,47.0246,31.89,93,83,5.48,broken clouds
594,Orumiyeh,IR,37.5527,45.0761,60.8,29,75,4.61,broken clouds
595,Sahibganj,IN,25.25,87.65,84.22,41,2,9.95,clear sky
596,Grajau,BR,-5.8194,-46.1386,89.44,53,57,5.14,broken clouds
597,Dingle,PH,10.9995,122.6711,74.26,83,89,5.79,overcast clouds
598,Wuwei,CN,37.9281,102.6414,49.46,53,97,2.89,overcast clouds
599,Mao,ES,39.8885,4.2658,50.0,43,0,19.57,clear sky
600,Graaff-Reinet,ZA,-32.2522,24.5308,72.0,45,61,4.34,broken clouds
601,Isangel,VU,-19.55,169.2667,75.31,85,92,6.89,overcast clouds
602,Qeshm,IR,26.9581,56.2719,82.4,57,0,9.22,clear sky
603,Chiredzi,ZW,-21.05,31.6667,68.4,52,2,4.34,clear sky
604,Umea,SE,63.8284,20.2597,39.2,48,0,4.61,clear sky
605,Sorong,ID,-0.8833,131.25,79.52,83,92,3.58,overcast clouds
606,Amalapuram,IN,16.5833,82.0167,75.88,84,28,2.86,scattered clouds
607,Wajir,KE,1.7471,40.0573,93.2,43,40,10.36,scattered clouds
608,Caravelas,BR,-17.7125,-39.2481,80.15,64,100,10.04,light rain
609,Cuiluan,CN,47.72,128.648,21.2,55,9,7.65,clear sky
610,Grindavik,IS,63.8424,-22.4338,33.8,93,75,18.41,broken clouds
611,Yulara,AU,-25.2406,130.9889,66.2,42,0,5.75,clear sky
612,Pangnirtung,CA,66.1451,-65.7125,30.2,80,90,33.38,snow
613,Dauphin,CA,51.1494,-100.0502,59.0,44,1,5.75,clear sky
614,Moyale,KE,3.5167,39.0584,70.47,75,23,5.77,few clouds
615,Yumen,CN,40.2833,97.2,48.81,35,65,17.87,broken clouds
616,Mbini,GQ,1.574,9.6134,84.2,84,40,6.91,scattered clouds
617,Nhulunbuy,AU,-12.2333,136.7667,71.6,88,97,2.21,overcast clouds
618,Davila,PH,18.4726,120.5763,74.95,80,3,17.65,clear sky
619,Ust-Kuyga,RU,70.0167,135.6,-20.54,99,89,3.49,overcast clouds
620,Eenhana,NA,-17.4667,16.3333,82.4,47,77,1.14,broken clouds
621,Ambon,ID,-3.6954,128.1814,73.4,94,20,2.3,few clouds
622,Moerai,PF,-22.4333,-151.3333,77.58,76,100,15.14,overcast clouds
623,Nome,US,64.5011,-165.4064,-2.0,84,1,6.78,clear sky
624,Touros,BR,-5.1989,-35.4608,84.2,70,40,12.66,scattered clouds
625,Zonguldak,TR,41.25,31.8333,53.11,77,22,1.05,few clouds
626,Labuan,MY,5.2767,115.2417,78.8,94,20,3.71,few clouds
627,Peleduy,RU,59.6289,112.7406,35.29,98,100,6.49,overcast clouds
628,Mwense,ZM,-10.3845,28.698,66.97,95,54,5.14,moderate rain
629,Moose Factory,CA,51.2585,-80.6094,44.6,65,75,6.91,broken clouds
630,Tilichiki,RU,60.4667,166.1,-8.28,98,51,6.44,broken clouds
631,Halifax,CA,44.6453,-63.5724,57.2,62,75,18.41,broken clouds
632,Alugan,PH,12.2188,125.4808,77.61,81,44,8.43,scattered clouds
633,Mahanje,TZ,-9.9333,35.3333,65.5,95,70,2.44,light rain
634,Talca,CL,-35.4333,-71.6667,73.99,56,40,9.22,scattered clouds
635,Gidam,IN,18.9833,81.4,82.24,46,86,6.06,overcast clouds
636,Sechura,PE,-5.5569,-80.8222,81.81,58,51,8.84,broken clouds
637,San Quintin,MX,30.4833,-115.95,68.63,59,59,12.71,broken clouds
638,Beyneu,KZ,45.3167,55.2,56.34,39,72,2.15,broken clouds
